Site Address,Nickname,Lot Size (SF),Building / Office Portion (SF),Monthly Rate (all in)
5145 Blalock Industrial Blvd,TBD,154638,"16,144",
2444-2484 Forest Park Rd SE,Truck Terminal,"130,680 SF (Site A) / 87,120 SF (Site B) / 87,120 SF (Site C)",TBD,
4490 Bowman Industrial Court,Southpoint,203425,"10,250","36,499"
1188 Central Avenue,TBD,116305,"27,647","24,191"
4382 Moreland Avenue,TBD,148104,"10,825 / 5,200","28,993"
2411 Sullivan Rd,TBD,97574,"19,862 - 41,000 SF / 1,000","15,294"
5963 Lees Mill Rd,TBD,196020,"10,421 / 1,500","36,751"
3502 Moreland Avenue,TBD,209959,"12,550 / 1,800","51,947"
930 Chattahoochee Ave NW,TBD,97487,"18,000 / 3,000","26,580"
2476 Lawrence Avenue - Bldg A,TBD,64033,"10,100",
4170 Old McDonough Rd.,TBD,65340,"7,680","19,002"
5430 GA-85,TBD,238273,"25,497","49,209"
587 Whitehall Street SW,TBD,49223,"31,000","44,976"
1015 Sampler Way,TBD,55321,"32,065","21,243"
263 Decatur Street SE,TBD,43560,"42,000","38,990"
205 Armour Dr NE,TBD,60984,"33,100 / 6,754","47,416"
228 Ottley Dr NE,TBD,58806,"20,635 / 2,775","38,691"
460 Englewood Ave SE,TBD,265716,"55,000","60,958"
1910 Murphy Ave SW,TBD,388120,"43,000 / 1,000","30,458"
1314 Murphy Ave SW,TBD,217364,"43,153 / 7,000","65,017"
2770 Peyton Road NW,TBD,314503,"25,283 / 3,000","84,698"
4445 Wendell Dr SW,TBD,101930,"30,000 / 2,200","18,000"
